"41","Summation of the number of the number on the left to the number of the right. If the number on the left is greater than the number on the right, then it returns zero.","NORM","","SB-ONE","SB-WORD","SB-A>B","SB-ASC","COR",""
"59","The function adds up the range of numbers from the first input to the second number. If the second number is less than the first input, the function produces 0.","NORM","","SB-ONE","SB-WORD","SB-A>B","SB-ASC","COR",""
"88","Adds all the numbers between the given two numbers if the second one is bigger","NORM","","SB-ONE","SB-WORD","SB-A<B","","MCOR",""
"66","Not sure on this one. I've noticed that if the first integer is larger than the second, the output is 0. Only when they are equal is when the output is also the same number (i.e. 3,3 = 3).","NORM","SB-PAT","","","SB-A<B SB-A=B","","SCOR","UNS IO"
"62","recursive thingy","NONS","","","","","","",""
"87","If a > b, return 0; if b > a, return the sum of all integers from a to b, inclusive","NORM","","SB-ONE","SB-WORD","SB-A<B SB-A>B","SB-ASC SB-BOUND","COR",""
"67","I think this function does the following: if input 1 > input 2, the output is 0 if input 1 < input 2: the output is the sum = input 1 + sum(numbers incrementing by 1 from input 1+1 to input 2) eg: input: 3, 7, output = 3 + (4+5+6+7)","NORM","","","SB-EXP","SB-A<B SB-A>B","SB-ASC SB-BOUND","COR","NIN NOUT IO"
"85","If the second number is greater than the first, sum all the numbers in between, inclusive. If the first is greater, return 0.","NORM","","SB-ONE","SB-WORD","SB-A<B SB-A>B","SB-BOUND","COR",""
"78","2","NONS","","","","","","",""
"28","if num 1 > num 2 then output is 0, otherwise it is the sum of num1 + (num1 + 1) + (num1 + 2) + ....till num2","NORM","","SB-ONE","SB-EXP","SB-A>B","SB-ASC SB-BOUND","COR","NIN"
"75","no clue","IDK","","","","","","",""
"42","I don't know the exact formula but I know if n2 < n1, it returns 0 and once n1==n2 it returns  n1/n2 and if n2>n1 it returns n1+n2, including all n such that n1<=n<n2","NORM","","SB-ONE","SB-WORD","SB-A<B SB-A=B SB-A>B","SB-BOUND","COR","UNS"
"50","f(x1,x2) = { 0 if x2 < x1, sum(x1->x2) if x2 >= x1}","NORM","","SB-ONE","SB-OTH","SB-A<B SB-A>=B","SB-ASC SB-BOUND","COR","CODE NFCN NIN"
"39","not sure but I think its been too long on this question","IDK","","","","","","",""
"36","Sum up to the second input (inclusive) subtracted by the sum up to the first input (exclusive).","NORM","","SB-TWO","SB-WORD","","SB-ASC SB-BOUND","COR",""
"30","sum of integers starting at first number and ending at second number, inclusive","NORM","","SB-ONE","SB-WORD","","SB-ASC SB-BOUND","COR",""
"81","Sums the numbers between the first given integer and the second. Sum is calculated as addition to 0, so if the first integer is greater than the second, the result is 0.","NORM","","SB-ONE","SB-WORD","SB-A>B","","COR",""
"29","returns the sum of all the integers in the range of [i1, i2]","NORM","","SB-ONE","SB-CON","","","COR","NIN"
"83","Sum between the numbers.","NORM","","SB-ONE","SB-WORD","","","MCOR",""
"61","Not too sure","IDK","","","","","","",""
"55","It gets the sum of 1-X1 and subtracts that minus 1 from the sum of 1-X2","NORM","","SB-TWO","SB-WORD","","SB-ASC","MCOR","NIN"
"51","if number 2 > number 1 it will sum up number 1 ....+ n + ... number 2 and return that number else return 0","NORM","","SB-ONE","SB-EXP","SB-A<B","SB-ASC SB-BOUND","COR","NIN"
"45","(#1(#1-1)/2 - (#2)*(#2+1)/2) * -1","NORM","SB-ATH","","","","","MCOR","NIN"
"23","z=y(y+1)^2/2x","NORM","SB-ATH","","","","","SCOR","NIN NOUT"
